"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210912","Rb1cc1","12421","RB1-inducible coiled-coil 1",-0.0161047049943583,5.5089601857546,-0.0677592015682115,0.94676693136514,0.999764220248336,-5.22923434741807
"2","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.029063826654359,5.33267960343973,0.123907033686786,0.902840356304563,0.999764220248336,-5.22513759493873
"3","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",0.54069628401365,3.73952239548787,1.31122268437116,0.207196744998182,0.999764220248336,-4.61552883767834
"4","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",-0.271517467604063,6.31386795687165,-1.02539656713439,0.319529009259918,0.999764220248336,-4.84559952808383
"5","17211090","Cspp1","211660","centrosome and spindle pole associated protein 1",-0.0368821509068358,4.09480074229215,-0.188284983355725,0.85287980586016,0.999764220248336,-5.21749542880041
"6","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",-0.399175432665308,2.61978609507208,-0.848155006465873,0.408121200826177,0.999764220248336,-4.96412844056079
"7","17211243","Terf1","21749","telomeric repeat binding factor 1",0.173360501191183,4.81212610294576,0.842083540379103,0.411417342926104,0.999764220248336,-4.96783693277298
"8","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.383085362603496,2.87844823964581,-1.41299059873266,0.175684184141276,0.999764220248336,-4.52312989143243
"9","17211280","Tmem70","70397","transmembrane protein 70",0.0958748905280613,4.81042054956912,0.309970734409825,0.7603461719237,0.999764220248336,-5.19451096154509
"10","17211286","Ly96","17087","lymphocyte antigen 96",-0.347906233967846,6.42725258254493,-0.587372941700745,0.564664547095557,0.999764220248336,-5.1012284989552
"11","17211369","Il17a","16171","interleukin 17A",-2.25098300342832,3.56837637335743,-4.59106583255112,0.000259185535713254,0.258796757409684,-0.656044857548079
"12","17211416","Khdc1a","368204","KH domain containing 1A",-0.12361309665654,1.28132433737782,-0.390585409076812,0.70094893779621,0.999764220248336,-5.17319546169703
"13","17211587","Dst","13518","dystonin",0.0774399629749372,7.48792379071234,0.231684106000237,0.819545796445005,0.999764220248336,-5.210575033726
"14","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.132845345866078,6.51881769966636,0.247481666816066,0.807496097385999,0.999764220248336,-5.20770367074506
"15","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-0.400772494064064,4.35399688612903,-1.01299430654392,0.325247140433171,0.999764220248336,-4.85452394226509
"16","17211822","Cnnm4","94220","cyclin M4",-0.183381980535263,5.23189123149004,-0.700739288613617,0.492934635896501,0.999764220248336,-5.04730088336229
"17","17211832","Cnnm3","94218","cyclin M3",-0.191463098085124,4.15721425828246,-1.00199467871663,0.330378978026438,0.999764220248336,-4.8623614818901
"18","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",0.0638339820035481,2.65032356189052,0.165968844020304,0.870136930864984,0.999764220248336,-5.22050006725235
"19","17211939","Inpp4a","269180","inositol polyphosphate-4-phosphatase, type I",0.380392624951295,5.86297344543124,1.11152313451219,0.281797643288319,0.999764220248336,-4.78111185589215
"20","17212174","Il1r2","16178","interleukin 1 receptor, type II",-0.511176929823902,4.48575491073336,-0.632866596368286,0.535231528521182,0.999764220248336,-5.08065934178823
"21","17212185","Il1r1","16177","interleukin 1 receptor, type I",-1.02247139318508,2.90597567216395,-3.31253478472002,0.00411161580327478,0.788300402887905,-2.24485803323701
"22","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.139160155834717,5.78156506786379,-0.395823095118164,0.697153001198974,0.999764220248336,-5.17164435157981
"23","17212229","Il18r1","16182","interleukin 18 receptor 1",-0.220280259885287,2.17853982430863,-0.622757304186719,0.541698506947376,0.999764220248336,-5.0853551894344
"24","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",-0.535673350758226,2.36232814257205,-1.17867543999028,0.254742783163504,0.999764220248336,-4.72786677716959
"25","17212269","Slc9a4","110895","solute carrier family 9 (sodium/hydrogen exchanger), member 4",-0.354146171928312,7.06404364113178,-1.32205365883808,0.2036428822245,0.999764220248336,-4.6059414020003
"26","17212286","Slc9a2","226999","solute carrier family 9 (sodium/hydrogen exchanger), member 2",-0.393153779634985,4.31413171930143,-0.9989076913338,0.331829416039401,0.999764220248336,-4.8645478879328
"27","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.165833011563968,3.70187385497491,0.504028468211849,0.620702826728008,0.999764220248336,-5.13511574128362
"28","17212423","Ercc5","22592","excision repair cross-complementing rodent repair deficiency, complementation group 5",-0.292948744887163,4.13597492612496,-1.12082164069723,0.277929066414583,0.999764220248336,-4.77389146081429
"29","17212719","Cavin2","20324","caveolae associated 2",-0.246271645931043,3.14224864423931,-0.479212871785026,0.637886111751357,0.999764220248336,-5.14424463102409
"30","17212724","Stat4","20849","signal transducer and activator of transcription 4",-1.10304169301948,3.52980087695413,-1.2995605605282,0.211077969656794,0.999764220248336,-4.6257847751265
"31","17212750","Stat1","20846","signal transducer and activator of transcription 1",-0.605885192299425,7.5805254745565,-2.58764144529194,0.0191502246080998,0.999764220248336,-3.18449831576064
"32","17212792","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",-0.214445330803051,2.36753352502719,-0.771924366924259,0.450744468727705,0.999764220248336,-5.00894238848142
"33","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",-0.343300722832493,3.41422715148435,-0.843262637356911,0.410775877752708,0.999764220248336,-4.96711860111113
"34","17212882","Hspe1","15528","heat shock protein 1 (chaperonin 10)",-0.128502105125753,4.38243466253273,-0.396533610585676,0.69663869875233,0.999764220248336,-5.17143238209326
"35","17212908","Plcl1","227120","phospholipase C-like 1",-0.18738841173135,1.60509718552881,-0.726579459632604,0.477357771547642,0.999764220248336,-5.03377188549573
"36","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",-0.155937559127612,3.60876242553987,-0.641132694217965,0.529975336162977,0.999764220248336,-5.07676681696797
"37","17213185","Cbx3","12417","chromobox 3",-0.114375865289386,5.69941917064514,-0.414235532253721,0.683874899065364,0.999764220248336,-5.16603162022791
"38","17213189","Gm20257","100504501","caspase 8 pseudogene",-0.205451920527417,1.74038774235497,-0.403498337493475,0.691605403431943,0.999764220248336,-5.16933493473102
"39","17213192","Cflar","12633","CASP8 and FADD-like apoptosis regulator",0.159815145217914,6.81214965479514,0.711744016002746,0.486264725770074,0.999764220248336,-5.04159462033487
"40","17213226","Stradb","227154","STE20-related kinase adaptor beta",-0.0642869527773358,2.75036101101797,-0.306919139014811,0.762627984037752,0.999764220248336,-5.19522302812332
"41","17213265","Fzd7","14369","frizzled class receptor 7",-0.182648948816988,6.26363678627359,-0.791279088134076,0.43966899549441,0.999764220248336,-4.99792637705734
"42","17213295","Nop58","55989","NOP58 ribonucleoprotein",0.161270235997901,6.42425984368743,0.467381950182995,0.64615441561775,0.999764220248336,-5.14844019737834
"43","17213313","Snord70","100217459","small nucleolar RNA, C/D box 70",-0.331237226996723,3.14812968514371,-0.618983305108335,0.544123617427083,0.999764220248336,-5.08708997120313
"44","17213319","Snord11","100217421","small nucleolar RNA, C/D box 11",0.431381501343878,4.21711733482071,1.30423692402123,0.20951481691811,0.999764220248336,-4.62168067686597
"45","17213336","Bmpr2","12168","bone morphogenetic protein receptor, type II (serine/threonine kinase)",-0.40081197923007,5.61472187741927,-0.885378647472557,0.388289533902479,0.999764220248336,-4.94087278942581
"46","17213338","Fam117b","72750","family with sequence similarity 117, member B",0.0206783993278492,6.991869491538,0.0745074737708122,0.941475251954545,0.999764220248336,-5.22886873838607
"47","17213349","Carf","241066","calcium response factor",0.207214454864409,2.79678252979931,0.772164154464283,0.450606207295244,0.999764220248336,-5.00880743171896
"48","17213369","Nbeal1","269198","neurobeachin like 1",-0.416140066055583,4.82962842248249,-1.33368592594019,0.199880133182787,0.999764220248336,-4.59557818818647
"49","17213446","Abi2","329165","abl-interactor 2",0.401911832213105,4.07651149688931,1.33569352365874,0.199236357517772,0.999764220248336,-4.5937826831036
"50","17213462","Cd28","12487","CD28 antigen",-0.00587202551011545,3.63374815061806,-0.0126527787046153,0.990051935828485,0.999764220248336,-5.23092219088763
"51","17213490","Icos","54167","inducible T cell co-stimulator",-0.671878409138478,4.5955801601768,-1.34512282941706,0.196234732246361,0.999764220248336,-4.58532237107272
"52","17213548","Nrp2","18187","neuropilin 2",0.337856896926432,8.23984156289541,0.969860841599455,0.345696820734481,0.999764220248336,-4.88483645629432
"53","17213593","Snora41","100217464","small nucleolar RNA, H/ACA box 41",0.0491750118856991,2.49027047787737,0.235218449854952,0.816845796033123,0.999764220248336,-5.2099489336794
"54","17213608","Adam23","23792","a disintegrin and metallopeptidase domain 23",0.0921636022227337,2.40660686409197,0.189731197040005,0.85176398921215,0.999764220248336,-5.21728771582833
"55","17213645","Fastkd2","75619","FAST kinase domains 2",0.0292613120256271,3.55164539335555,0.0654870929398586,0.948549201764979,0.999764220248336,-5.22934964653854
"56","17213702","Pikfyve","18711","phosphoinositide kinase, FYVE type zinc finger containing",-0.191641608569462,5.50709249839709,-0.820796398942121,0.423109418569781,0.999764220248336,-4.9806500579317
"57","17213880","Rpe","66646","ribulose-5-phosphate-3-epimerase",-0.17683701142171,5.31300925319412,-0.665178002860388,0.51484952702506,0.999764220248336,-5.06517457709343
"58","17213990","Atic","108147","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",-0.0709567879438522,5.77775912092301,-0.203691998792927,0.841009604595471,0.999764220248336,-5.21520133959281
"59","17214053","Xrcc5","22596","X-ray repair complementing defective repair in Chinese hamster cells 5",-0.189085776484222,5.11952914580835,-0.583506972751936,0.567204399136254,0.999764220248336,-5.10290944767505
"60","17214075","Smarcal1","54380","SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1",-0.140744964525371,4.77388105832421,-0.563169159509914,0.580663354160369,0.999764220248336,-5.11157859341191
"61","17214100","Rpl37a","19981","ribosomal protein L37a",-0.178988556395156,3.38634621402007,-0.64955379716497,0.524650112483615,0.999764220248336,-5.07275252636792
"62","17214106","Igfbp2","16008","insulin-like growth factor binding protein 2",0.235747238960363,2.98775287145377,0.795231127804539,0.437428584439832,0.999764220248336,-4.99564652286776
"63","17214126","Rufy4","435626","RUN and FYVE domain containing 4",0.0221990549953359,5.53028341207939,0.0891553622073859,0.929999090390536,0.999764220248336,-5.22795590521263
"64","17214142","Cxcr2","12765","chemokine (C-X-C motif) receptor 2",-0.823784987795484,3.9177698617723,-2.12867011031935,0.0481833693828595,0.999764220248336,-3.75278313600176
"65","17214197","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",-0.0461157788138156,5.24806992969221,-0.174646617608127,0.863417860214007,0.999764220248336,-5.21937646655845
"66","17214293","Bcs1l","66821","BCS1-like (yeast)",-0.319939534406037,3.63610814930055,-1.04991287712251,0.308437473039471,0.999764220248336,-4.82768740030783
"67","17214341","Ttll4","67534","tubulin tyrosine ligase-like family, member 4",-0.0622639959444364,3.97036169516361,-0.29712664031635,0.7699653706359,0.999764220248336,-5.1974611110524
"68","17214368","Cyp27a1","104086","cytochrome P450, family 27, subfamily a, polypeptide 1",0.442555300805171,3.26984636584793,1.30930857041896,0.207829876133824,0.999764220248336,-4.61721694720809
"69","17214564","Asic4","241118","acid-sensing (proton-gated) ion channel family member 4",0.188740497506176,2.93818598960919,0.649413162324006,0.524738799414082,0.999764220248336,-5.07281996970733
